,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_en
43,hi,1439519666829856771,1084780904826920961, GorakhnathMndr महोदय आपकी  पहली भर्ती ही 4 5 वर्ष बाद भी अभी तक पूरी नहीं हुई  UPSI2016 भर्ती की परिक्षा 2017 मे हुई 2019 मे अंतिम परिणाम आया और 2019 20 मे आपने 2486 अभ्यर्थियों की ट्रेनिंग पूरी कराई लेकिन चयनित अभ्यर्थी अभी भी नियुक्ति पत्र के इंतज़ार मे प्रताड़ना झेल रहे  इनकी मनोदशा को समझे https   t co GDnOjMYgyA,1439521138875375620,False, GorakhnathMndr महोदय आपकी  पहली भर्ती ही 4 5 वर्ष बाद भी अभी तक पूरी नहीं हुई  UPSI2016 भर्ती की परिक्षा 2017 मे हुई 2019 मे अंतिम परिणाम आया और 2019 20 मे आपने 2486 अभ्यर्थियों की ट्रेनिंग पूरी कराई लेकिन चयनित अभ्यर्थी अभी भी नियुक्ति पत्र के इंतज़ार मे प्रताड़ना झेल रहे  इनकी मनोदशा को समझे https   t co GDnOjMYgyA,2021-09-19T09:25:59.000Z,India,"@GorakhnathMndr महोदय आपकी #पहली_भर्ती ही 4.5 वर्ष बाद भी अभी तक पूरी नहीं हुई,#UPSI2016 भर्ती की परिक्षा 2017 मे हुई,2019 मे अंतिम परिणाम आया और 2019-20 मे आपने 2486 अभ्यर्थियों की ट्रेनिंग पूरी कराई लेकिन चयनित अभ्यर्थी अभी भी नियुक्ति पत्र के इंतज़ार मे प्रताड़ना झेल रहे, इनकी मनोदशा को समझे https://t.co/GDnOjMYgyA",[],"['पहली_भर्ती', 'UPSI2016']",['GorakhnathMndr'],['https://t.co/z5EV2aKcR6'],,
44,en,1439509234647928836,1408780912129622019, its Anvi1 Right,1439509364625137664,False,,2021-09-19T08:39:11.000Z,India,@its_Anvi1 Right,[],[],['its_Anvi1'],[],, its Anvi1 Right
45,en,1439509234647928836,1408780912129622019, its Anvi1 Right,1439509305741377542,False,,2021-09-19T08:38:57.000Z,India,@its_Anvi1 Right,[],[],['its_Anvi1'],[],, its Anvi1 Right
46,hi,1439501750486986753,1257864310321287168,शुभ सौभाग्य क्षितिज पर जैसे होने को है सूर्य प्रकटआकाश स्तुति गान हेतुले वाद्य यंत्र उल्लासित हैहै सत्य  सृजन आन्दोलन है इन दिनों देश आंदोलित हैअमृत पुत्रों  सत्पुरुषों केनिर्देशन में संकल्पित है गौतम अद्वितीय,1439501754207387656,False,शुभ सौभाग्य क्षितिज पर जैसे होने को है सूर्य प्रकटआकाश स्तुति गान हेतुले वाद्य यंत्र उल्लासित हैहै सत्य  सृजन आन्दोलन है इन दिनों देश आंदोलित हैअमृत पुत्रों  सत्पुरुषों केनिर्देशन में संकल्पित है गौतम अद्वितीय,2021-09-19T08:08:57.000Z,India,"शुभ सौभाग्य क्षितिज पर जैसे होने को है सूर्य प्रकट

आकाश स्तुति गान हेतु
ले वाद्य यंत्र उल्लासित है
है सत्य, सृजन आन्दोलन है 
इन दिनों देश आंदोलित है
अमृत पुत्रों, सत्पुरुषों के
निर्देशन में संकल्पित है
~गौतम अद्वितीय",[],[],[],['https://t.co/WbxKWah30C'],,
47,hi,1439493953150074887,815252103648026625, Aj78004 उत्तम क्षमा,1439802618465845252,False, Aj78004 उत्तम क्षमा,2021-09-20T04:04:29.000Z,India,@Aj78004 उत्तम क्षमा🙏,['🙏'],[],['Aj78004'],[],,
48,hi,1439493953150074887,815252103648026625, aakriti51 उत्तम क्षमा,1439592455003787272,False, aakriti51 उत्तम क्षमा,2021-09-19T14:09:22.000Z,India,@aakriti51 उत्तम क्षमा,[],[],['aakriti51'],[],,
49,hi,1439461928603045889,880367816435683328,वासुपूज्य भगवान के मोक्ष कल्याणक पर समर्पित किया निर्वाण लाडू10 उपवास करने वाले बालक बालिकाओं की धर्म में आस्था जागृत रहे के लिए आयोजित हुई भजन संध्या10 उपवास करने वाले बच्चों की निकाली गई भव्य थालोड़ी,1439461930117124096,False,वासुपूज्य भगवान के मोक्ष कल्याणक पर समर्पित किया निर्वाण लाडू10 उपवास करने वाले बालक बालिकाओं की धर्म में आस्था जागृत रहे के लिए आयोजित हुई भजन संध्या10 उपवास करने वाले बच्चों की निकाली गई भव्य थालोड़ी,2021-09-19T05:30:42.000Z,India,"वासुपूज्य भगवान के मोक्ष कल्याणक पर समर्पित किया निर्वाण लाडू
10 उपवास करने वाले बालक बालिकाओं की धर्म में आस्था जागृत रहे के लिए आयोजित हुई भजन संध्या
10 उपवास करने वाले बच्चों की निकाली गई भव्य थालोड़ी",[],[],[],['https://t.co/HEwdVio6rz'],,
50,en,1439457938037362700,1356964231640322048, Real Diksha  PremKum34453875 Beautiful post,1439800141058232323,False,,2021-09-20T03:54:38.000Z,India,@Real_Diksha @PremKum34453875 Beautiful post,[],[],"['Real_Diksha', 'PremKum34453875']",[],, Real Diksha  PremKum34453875 Beautiful post
51,en,1439457708013281281,1399978825207799811, aao4india  mukeshahlawatap  ArvindKejriwal  SanjayAzadSln  msisodia  Gopal Italia  AapKaGopalRai  isudan gadhvi  GulabMatiala  ColAjayKothiyal  manoj sorathiya  NikhilSavani   SatyaPrakashAAP  LoveFromManali  BoishaliSinha  Bharat29462116  SavitaAAP Ture ,1439576641580122115,False,,2021-09-19T13:06:32.000Z,India,@aao4india @mukeshahlawatap @ArvindKejriwal @SanjayAzadSln @msisodia @Gopal_Italia @AapKaGopalRai @isudan_gadhvi @GulabMatiala @ColAjayKothiyal @manoj_sorathiya @NikhilSavani_ @SatyaPrakashAAP @LoveFromManali @BoishaliSinha @Bharat29462116 @SavitaAAP Ture 👍,['👍'],[],"['aao4india', 'mukeshahlawatap', 'ArvindKejriwal', 'SanjayAzadSln', 'msisodia', 'Gopal_Italia', 'AapKaGopalRai', 'isudan_gadhvi']",['https://t.co/enrigxi1Ql'],, aao4india  mukeshahlawatap  ArvindKejriwal  SanjayAzadSln  msisodia  Gopal Italia  AapKaGopalRai  isudan gadhvi  GulabMatiala  ColAjayKothiyal  manoj sorathiya  NikhilSavani   SatyaPrakashAAP  LoveFromManali  BoishaliSinha  Bharat29462116  SavitaAAP Ture 
52,hi,1439441083717480448,115305342,2 2  वही कई दिन तक प्रयाप्त  वैक्सीन डोज लगाने बजाय सत्ता दुरुपयोग से  Vaccine जमाखोरी करके अपना महिमामंडन करने शुक्रवार को रिकार्ड जरूर बना लिया पर लगे हाथ यह भी तो ज्ञान पेलते अगले दिन शनिवार  रविवार को लोगो को कितनी वैक्सीन डोज लगी  Vaccination  NationalUnemploymentDay,1439441228962041859,False,2 2  वही कई दिन तक प्रयाप्त  वैक्सीन डोज लगाने बजाय सत्ता दुरुपयोग से  Vaccine जमाखोरी करके अपना महिमामंडन करने शुक्रवार को रिकार्ड जरूर बना लिया पर लगे हाथ यह भी तो ज्ञान पेलते अगले दिन शनिवार  रविवार को लोगो को कितनी वैक्सीन डोज लगी  Vaccination  NationalUnemploymentDay,2021-09-19T04:08:27.000Z,India,"2/2--वही कई दिन तक प्रयाप्त #वैक्सीन_डोज लगाने बजाय सत्ता दुरुपयोग से #Vaccine जमाखोरी करके अपना महिमामंडन करने शुक्रवार को रिकार्ड जरूर बना लिया!
पर लगे हाथ यह भी तो ज्ञान पेलते अगले दिन शनिवार, रविवार को लोगो को कितनी वैक्सीन डोज लगी?
#Vaccination #NationalUnemploymentDay",[],"['वैक्सीन_डोज', 'Vaccine']",[],['https://t.co/GyEYOAz30W'],,
53,hi,1439410919268761605,1241316387722797056, hemantj12901276 धन्यवाद ,1440503491215036418,False, hemantj12901276 धन्यवाद ,2021-09-22T02:29:30.000Z,India,@hemantj12901276 धन्यवाद 🙏😊,"['🙏', '😊']",[],['hemantj12901276'],[],,
54,hi,1439251161547042820,1251057501887328256, Jai HindBJP जय श्रीराम,1439262786006228996,False, Jai HindBJP जय श्रीराम,2021-09-18T16:19:23.000Z,India,@Jai_HindBJP जय श्रीराम,[],[],['Jai_HindBJP'],[],,
55,hi,1439217649062334474,1168459494432501760, OfficialGNIDA मध्यम शहरी वर्ग के लिए  सरकारी ब्लड टेस्ट की सुविधा के लिए शहर में ब्लड टेस्ट लैब्स खोले जाने चाहिए। निजी लैब्स का खर्च भारी     PankajSinghBJP  tejpalnagarMLA  DhirendraGBN  dr maheshsharma  NoidaMediaClub  GNPC247  greaternoidaw  grenonoida  tennewsdotin   tricitytoday,1439261461876854784,False, OfficialGNIDA मध्यम शहरी वर्ग के लिए  सरकारी ब्लड टेस्ट की सुविधा के लिए शहर में ब्लड टेस्ट लैब्स खोले जाने चाहिए। निजी लैब्स का खर्च भारी     PankajSinghBJP  tejpalnagarMLA  DhirendraGBN  dr maheshsharma  NoidaMediaClub  GNPC247  greaternoidaw  grenonoida  tennewsdotin   tricitytoday,2021-09-18T16:14:07.000Z,India,"@OfficialGNIDA मध्यम शहरी वर्ग के लिए  सरकारी ब्लड टेस्ट की सुविधा के लिए शहर में ब्लड टेस्ट लैब्स खोले जाने चाहिए। निजी लैब्स का खर्च भारी !! @PankajSinghBJP @tejpalnagarMLA @DhirendraGBN @dr_maheshsharma @NoidaMediaClub
 @GNPC247 @greaternoidaw @grenonoida @tennewsdotin  @tricitytoday",[],[],['OfficialGNIDA'],['https://t.co/U1UKnezSYa'],,
56,en,1439163687865102350,1131135668, vijaye9 The post on Sh Irfan Habib  amp  Ms Thapar was the first ever from you that I had read Wonderful  I also want to buy your book भारत की खोज में मेरे ५ साल Please help me in getting the book ,1439185572384231430,False,,2021-09-18T11:12:33.000Z,India,@vijaye9 The post on Sh Irfan Habib &amp; Ms Thapar was the first ever from you that I had read.Wonderful. I also want to buy your book भारत की खोज में मेरे ५ साल.Please help me in getting the book.,[],[],['vijaye9'],['https://t.co/7EvkFXtAlU'],, vijaye9 The post on Sh Irfan Habib  amp  Ms Thapar was the first ever from you that I had read Wonderful  I also want to buy your book भारत की खोज में मेरे ५ साल Please help me in getting the book 
57,hi,1439134920140410881,1426514588657360896,प्लीज रिट्वीट कर हमारी हेल्प कर सकते हो तो प्लीज हेल्प this child  sir save this life  ,1439134922573168643,False,प्लीज रिट्वीट कर हमारी हेल्प कर सकते हो तो प्लीज हेल्प this child  sir save this life  ,2021-09-18T07:51:18.000Z,India,प्लीज रिट्वीट कर हमारी हेल्प कर सकते हो तो प्लीज हेल्प this child .sir save this life. 🙏,['🙏'],[],[],[],,
58,en,1439081497785294852,1264481932416614400, ManojKu32060783 V Good ,1439104997283696641,False,,2021-09-18T05:52:23.000Z,India,@ManojKu32060783 V Good 😊,['😊'],[],['ManojKu32060783'],[],, ManojKu32060783 V Good 
59,hi,1439081497785294852,1264481932416614400, PoonamS41319581 मुझे भी पता है कि नहीं देते हैं    I am also Medico,1439104922490863617,False, PoonamS41319581 मुझे भी पता है कि नहीं देते हैं    I am also Medico,2021-09-18T05:52:05.000Z,India,"@PoonamS41319581 मुझे भी पता है कि नहीं देते हैं... 
I am also Medico😍",['😍'],[],['PoonamS41319581'],[],,
60,en,1438921337385283587,1138400522862391297, Anu 2208 Can t agree more,1438922748902866949,False,,2021-09-17T17:48:11.000Z,India,@Anu_2208 Can't agree more,[],[],['Anu_2208'],[],, Anu 2208 Can t agree more
61,hi,1438915653566566405,64639742, JagranNews G  SWASARI PARVAHI TULSI  Shila drops  Tulsi Panchang Arvinda sav kids ko do kbhi bimar nhi ho  hm apne kids ko dete h  om ji,1439249479232675842,False, JagranNews G  SWASARI PARVAHI TULSI  Shila drops  Tulsi Panchang Arvinda sav kids ko do kbhi bimar nhi ho  hm apne kids ko dete h  om ji,2021-09-18T15:26:30.000Z,India,"@JagranNews G  SWASARI PARVAHI,TULSI -Shila drops, Tulsi-Panchang,Arvinda sav kids ko do,kbhi bimar nhi ho, hm apne kids ko dete h, om ji",[],[],['JagranNews'],[],,
62,hi,1438888781315133447,1396034147047464962, ekaurksh  Akash 2088 हर किसी के बस की बात नही है इतना दूर की सोचना,1438940963737538562,False, ekaurksh  Akash 2088 हर किसी के बस की बात नही है इतना दूर की सोचना,2021-09-17T19:00:34.000Z,India,@ekaurksh @Akash_2088 हर किसी के बस की बात नही है इतना दूर की सोचना,[],[],"['ekaurksh', 'Akash_2088']",[],,
63,hi,1438856436486836230,1279064532795527169, PankhuriShweta Apne Ko jyada over smart mat samajhTumhe kaise pata dono pair Kabra me latke haiWaise bhi  kamar ke niche koi umra nahi hoti,1438910482618798080,False, PankhuriShweta Apne Ko jyada over smart mat samajhTumhe kaise pata dono pair Kabra me latke haiWaise bhi  kamar ke niche koi umra nahi hoti,2021-09-17T16:59:27.000Z,India,"@PankhuriShweta Apne Ko jyada over smart mat samajh
Tumhe kaise pata,dono pair Kabra me latke hai
Waise bhi ,kamar ke niche koi umra nahi hoti",[],[],['PankhuriShweta'],['https://t.co/ULNgl6Loec'],,
64,en,1438841542702153729,42606652, aajtak Health of neverhttps   t co xvIIYqRPhe,1438845360693080070,False,,2021-09-17T12:40:41.000Z,India,"@aajtak Health of never

https://t.co/xvIIYqRPhe",[],[],['aajtak'],['https://t.co/xvIIYqRPhe'],, aajtak Health of neverhttps   t co xvIIYqRPhe
65,en,1438841542702153729,42606652, aajtak This chanel is bakwas  bokas and godi media,1438843580454375425,False,,2021-09-17T12:33:36.000Z,India,"@aajtak This chanel is bakwas, bokas,and godi media",[],[],['aajtak'],[],, aajtak This chanel is bakwas  bokas and godi media
66,hi,1438825160501432325,976852052298084352, PatelSpeaking  मुझे भी लगता है,1438837395240075266,False, PatelSpeaking  मुझे भी लगता है,2021-09-17T12:09:01.000Z,India,@PatelSpeaking ☺️☺️ मुझे भी लगता है,['☺️'],[],['PatelSpeaking'],[],,
67,en,1438779304502906887,42606652, aajtak Good Job,1438861365477888005,False,,2021-09-17T13:44:16.000Z,India,@aajtak Good Job,[],[],['aajtak'],[],, aajtak Good Job
68,hi,1438754822837071877,882137851810390016, MandlaCollector  healthminmp ये तो होना ही था  किसी गर्भवती महिला को कुछ हो गया तो इसका जिम्मेदार कौन  सरकार और  बनाने वाली कंपनी तो कोई मुआवजा भी नही दे रही ,1438757788973367297,False, MandlaCollector  healthminmp ये तो होना ही था  किसी गर्भवती महिला को कुछ हो गया तो इसका जिम्मेदार कौन  सरकार और  बनाने वाली कंपनी तो कोई मुआवजा भी नही दे रही ,2021-09-17T06:52:42.000Z,India,"@MandlaCollector @healthminmp ये तो होना ही था, किसी गर्भवती महिला को कुछ हो गया तो इसका जिम्मेदार कौन, सरकार और 💉 बनाने वाली कंपनी तो कोई मुआवजा भी नही दे रही?",['💉'],[],"['MandlaCollector', 'healthminmp']",['https://t.co/6XMzAjYuva'],,
69,hi,1438718674139975685,1437271075092525056, Vani03596299 बिल्कुल,1438725527930474496,False, Vani03596299 बिल्कुल,2021-09-17T04:44:30.000Z,India,@Vani03596299 बिल्कुल,[],[],['Vani03596299'],[],,
70,hi,1438564711516164098,1015140887901474816, DM PRAYAGRAJ  homeupgov  CommissionerPrg  prayagraj pol  CMOfficeUP  igrangealld  UPGovt  ChiefSecyUP  NigamPrayagraj  rahat up  ADGZonPrayagraj श्री मान 9559354274 9170259494 इस अज्ञात नम्बर से अभी 20 मिनट पहले हमारे पास फोन आया ये फोन कहां से आया इसकी कोई जानकारी नहीं है फोन करने वाला व्यक्ति अपने आप को प्रधानमंत्री आवास योजना से बता रहा है और पैसे की डिमांड कर रहा है जांच कर त्वरित कार्रवाई की जाय ।,1439607103929290752,False, DM PRAYAGRAJ  homeupgov  CommissionerPrg  prayagraj pol  CMOfficeUP  igrangealld  UPGovt  ChiefSecyUP  NigamPrayagraj  rahat up  ADGZonPrayagraj श्री मान 9559354274 9170259494 इस अज्ञात नम्बर से अभी 20 मिनट पहले हमारे पास फोन आया ये फोन कहां से आया इसकी कोई जानकारी नहीं है फोन करने वाला व्यक्ति अपने आप को प्रधानमंत्री आवास योजना से बता रहा है और पैसे की डिमांड कर रहा है जांच कर त्वरित कार्रवाई की जाय ।,2021-09-19T15:07:34.000Z,India,"@DM_PRAYAGRAJ @homeupgov @CommissionerPrg @prayagraj_pol @CMOfficeUP @igrangealld @UPGovt @ChiefSecyUP @NigamPrayagraj @rahat_up @ADGZonPrayagraj श्री मान 9559354274,9170259494 इस अज्ञात नम्बर से अभी 20 मिनट पहले हमारे पास फोन आया ये फोन कहां से आया इसकी कोई जानकारी नहीं है फोन करने वाला व्यक्ति अपने आप को प्रधानमंत्री आवास योजना से बता रहा है और पैसे की डिमांड कर रहा है जांच कर त्वरित कार्रवाई की जाय ।",[],[],"['DM_PRAYAGRAJ', 'homeupgov', 'CommissionerPrg', 'prayagraj_pol', 'CMOfficeUP', 'igrangealld', 'UPGovt', 'ChiefSecyUP']",['https://t.co/mcPl9Mj5Tk'],,
71,en,1438564711516164098,1015140887901474816, DM PRAYAGRAJ  homeupgov  CommissionerPrg  prayagraj pol  CMOfficeUP  igrangealld  UPGovt  ChiefSecyUP  NigamPrayagraj  rahat up  ADGZonPrayagraj Prayagraj me kuch time ke liye 1 to 12 class tkk k school closed kr de jis tarh dengue fail rha or bacho k death bhi ho rhi h plz sir ish matter pr kuch kariye  DM PRAYAGRAJ  abplivenews,1438765344089251840,False,,2021-09-17T07:22:43.000Z,India,@DM_PRAYAGRAJ @homeupgov @CommissionerPrg @prayagraj_pol @CMOfficeUP @igrangealld @UPGovt @ChiefSecyUP @NigamPrayagraj @rahat_up @ADGZonPrayagraj Prayagraj me kuch time ke liye 1 to 12 class tkk k school closed kr de jis tarh dengue fail rha or bacho k death bhi ho rhi h plz sir ish matter pr kuch kariye @DM_PRAYAGRAJ @abplivenews,[],[],"['DM_PRAYAGRAJ', 'homeupgov', 'CommissionerPrg', 'prayagraj_pol', 'CMOfficeUP', 'igrangealld', 'UPGovt', 'ChiefSecyUP']",['https://t.co/1Eg2eq4nvY'],, DM PRAYAGRAJ  homeupgov  CommissionerPrg  prayagraj pol  CMOfficeUP  igrangealld  UPGovt  ChiefSecyUP  NigamPrayagraj  rahat up  ADGZonPrayagraj Prayagraj me kuch time ke liye 1 to 12 class tkk k school closed kr de jis tarh dengue fail rha or bacho k death bhi ho rhi h plz sir ish matter pr kuch kariye  DM PRAYAGRAJ  abplivenews
72,hi,1438546238786314257,1167115125423321088, gumptionguye और अगर हाथ से प्लेट गिरकर टूट ये तो फिर  अपने घरवालों की मार से कैसे बचे ,1438757783105523713,False, gumptionguye और अगर हाथ से प्लेट गिरकर टूट ये तो फिर  अपने घरवालों की मार से कैसे बचे ,2021-09-17T06:52:40.000Z,India,@gumptionguye और अगर हाथ से प्लेट गिरकर टूट ये तो फिर  अपने घरवालों की मार से कैसे बचे?😁😁😁😁😁😁😜😜,"['😁', '😜']",[],['gumptionguye'],[],,
73,hi,1438546238786314257,1167115125423321088, Sabhapa30724463  gumptionguye साथ कीवी फल और ड्रेगन फल से भी बढ़ते हैमगर सबसे असरकारक दावा है पपीते के पत्ते का रस दिन में 3 4 समय पीने से 2 3 दिन में एकदम स्वस्थ हो जायेंगे,1438751215563665411,False, Sabhapa30724463  gumptionguye साथ कीवी फल और ड्रेगन फल से भी बढ़ते हैमगर सबसे असरकारक दावा है पपीते के पत्ते का रस दिन में 3 4 समय पीने से 2 3 दिन में एकदम स्वस्थ हो जायेंगे,2021-09-17T06:26:35.000Z,India,"@Sabhapa30724463 @gumptionguye साथ कीवी फल और ड्रेगन फल से भी बढ़ते है
मगर सबसे असरकारक दावा है पपीते के पत्ते का रस दिन में 3/4 समय पीने से 2/3 दिन में एकदम स्वस्थ हो जायेंगे",[],[],"['Sabhapa30724463', 'gumptionguye']",['https://t.co/PMhYN9c6Zg'],,
74,hi,1438538617807249418,2308772918, indreshmaikhuri उज्याडू बल्द अब उजाड़ छोड कर बीज खाने लगे हैं    ,1438540586575798272,False, indreshmaikhuri उज्याडू बल्द अब उजाड़ छोड कर बीज खाने लगे हैं    ,2021-09-16T16:29:37.000Z,India,@indreshmaikhuri उज्याडू बल्द अब उजाड़ छोड कर बीज खाने लगे हैं..??,[],[],['indreshmaikhuri'],[],,
75,hi,1438535645912129537,995850828345835520, Sanjay250977 महोदय ये एक राजनीति का खेल  है यदि इसी टाइम सोनू सूद बीजेपी ज्वाइन कर ले तो सब खत्म हो जायेगा,1438544705692872708,False, Sanjay250977 महोदय ये एक राजनीति का खेल  है यदि इसी टाइम सोनू सूद बीजेपी ज्वाइन कर ले तो सब खत्म हो जायेगा,2021-09-16T16:45:59.000Z,India,@Sanjay250977 महोदय ये एक राजनीति का खेल  है यदि इसी टाइम सोनू सूद बीजेपी ज्वाइन कर ले तो सब खत्म हो जायेगा,[],[],['Sanjay250977'],[],,
76,en,1438503243349327886,1017315441000132608, DMjaunpur Please provide LPG connection in Sipah police chauki  even today food is made from wood and coal  which causes a lot of smoke   Uppolice  jaunpurpolice,1438880483538980874,False,,2021-09-17T15:00:15.000Z,India,"@DMjaunpur Please provide LPG connection in Sipah police chauki, even today food is made from wood and coal, which causes a lot of smoke. @Uppolice @jaunpurpolice",[],[],['DMjaunpur'],['https://t.co/mFvAo5Y3Tp'],, DMjaunpur Please provide LPG connection in Sipah police chauki  even today food is made from wood and coal  which causes a lot of smoke   Uppolice  jaunpurpolice
77,hi,1438503243349327886,1017315441000132608, DMjaunpur आपका कार्य सराहनीय है,1438848298618552327,False, DMjaunpur आपका कार्य सराहनीय है,2021-09-17T12:52:21.000Z,India,@DMjaunpur आपका कार्य सराहनीय है,[],[],['DMjaunpur'],[],,
